,GPP_f,Reco,SWIN_1_1_1,VPD.x,air_p_mean,TS_2_1_1,WTD,LE_f,FCH4,TDP_interp,SO4_interp
0,0.341500466,4.441087966,-2.68465,73.5014,96073.5,19.06,200.0,10.42516824,999.0,91.15785714,1441.428571
1,0.380536824,4.356418253,-2.45213,49.9064,96076.5,18.701,200.0,9.219817188,0.0439553,91.15290179,1441.815476
2,0.277476658,4.227742658,-3.64913,65.5061,96081.2,18.383,200.0,-4.21799,999.0,91.14794643,1442.202381
3,0.466050274,4.131140274,-2.62522,874.825,96099.2,17.937,199.0,9.572418889,999.0,91.14299107,1442.589286
4,0.473606298,4.138696298,-1.93387,812.926,96115.6,17.602,198.0,9.572418889,999.0,91.13803571,1442.97619
5,0.358135032,4.051285032,-2.06921,804.886,96123.7,17.339,197.5,9.301727143,999.0,91.13308036,1443.363095
6,0.05642771,3.988965487,-2.27898,815.891,96134.4,17.015,197.0,9.344754545,999.0,91.128125,1443.75
7,0.05200709,3.984544867,-2.02736,34.2301,96133.1,16.7,196.5,9.344754545,999.0,91.12316964,1444.136905
8,-0.16268383,3.95402992,-1.57062,34.9879,96140.6,16.381,196.0,9.576691,999.0,91.11821429,1444.52381
9,-0.218804487,3.928866941,-2.09641,42.2431,96135.2,16.019,195.0,9.290978889,999.0,91.11325893,1444.910714
10,-0.250311205,3.897360224,-1.60307,31.2459,96140.5,15.618,194.0,8.41343875,999.0,91.10830357,1445.297619
11,-0.528948442,3.820706558,-1.9795,31.4172,96135.3,15.35,194.0,8.050675,999.0,91.10334821,1445.684524
12,-0.528393621,3.736436379,-1.88445,31.0498,96148.7,15.056,194.0,15.18648909,999.0,91.09839286,1446.071429
13,-1.126261633,3.785098367,4.79877,26.7903,96152.5,14.771,197.0,5.622315,999.0,91.0934375,1446.458333
14,0.181614046,3.747840713,26.8538,34.8071,96151.6,14.635,200.0,8.71413,999.0,91.08848214,1446.845238
