Site,Date,Time,LabID,pH,Specific Conductivity (uS),DOC (mg/L),TDN (mg/L),NO3NO2N (ug/L),NH4N_(ug/L),DRP (ug/L),TDP (ug/L),TP (ug/L),ABS 280nm ,SO4 (mg/L ALS),SO4_pred,TDP+10%>DRP10%,TP+10%>TDP10%,"Alkalinity, Total (as CaCO3) (mg/L)",Bicarbonate (HCO3) (mg/L),Carbonate (CO3) (mg/L),Hydroxide (OH) (mg/L)
MB16,2021-05-12,12:00,21_HW0601,9.01,2306.63,42.26,2.23,0.09,11.24,7.06,71.11,104.48,1.0591,648,648,TRUE,TRUE,,,,
MB16,2021-05-25,14:10,21_HW0634,8.48,2669.41,69.66,3.73,4.46,38.06,11.74,89.92,90.03,1.2771,805,805,TRUE,TRUE,,,,
MB16,2021-06-07,12:45,21_HW0738,8.82,3899.58,86.75,5.21,7.39,101.6,24.06,143.82,348.58,2.1308,1150,1150,TRUE,TRUE,,,,
MB16,2021-06-21,,21_HW0803,8.68,2505.08,66.59,3.35,0,38.64,5.38,69.86,84.54,1.4129,846,846,TRUE,TRUE,,,,
MB16,2021-07-05,,21_HW0856,8.35,3418.78,85.65,4.44,16.4,27.45,8.43,69.08,169.45,1.6498,1040,1040,TRUE,TRUE,,,,
MB16,2021-07-19,,21_HW0868,8.73,3977.95,100.42,5.63,11.51,80.61,10.52,94.25,216.99,1.8378,1200,1200,TRUE,TRUE,,,,
MB16,2021-08-02,12:00,21_HW0967,9.18,4580.99,121.49,7.2,22.98,38.78,32.31,90.92,174.6,1.5715,1460,1460,TRUE,TRUE,,,,
MB16,2021-08-30,11:40,21_HW0998,8.39,2905.11,63.37,3.46,15.87,68.89,22.61,109.81,172.71,1.4593,893,893,TRUE,TRUE,,,,
MB16,2021-09-12,,21_HW1010,8.68,3624,100.9,6.26,2.63,505.81,29.42,88.82,146.22,1.8844,1230,1230,TRUE,TRUE,,,,
MB16,2021-10-18,12:00,21_HW1030,8.64,5871.67,131.52,7.21,39.35,63.81,15.66,82.28,136.05,2.2976,1870,1870,TRUE,TRUE,,,,
MB16,2022-05-16,,22_HW0411,9.14,571.8,,,,,3.25,48.18,61.51,,200,171,TRUE,TRUE,176,215,<0.60,<0.34
MB16,2022-06-08,,22_HW0481,9.15,1013.5,,,,,8.24,47.67,54.25,,267,317,TRUE,TRUE,229,279,<0.60,<0.34
MB16,2022-06-20,13:40,22_HW0518,8.86,742.2,,,,,1.15,60.69,70.8,,245,228,TRUE,TRUE,254,310,<0.60,<0.34
MB16,2022-07-04,14:10,22_HW0926,9.14,857,,,,,6.3,79,80.70259859,,271,265,TRUE,TRUE,285,347,<0.60,<0.34
MB16,2022-07-18,,22_HW0978,8.96,1272.7,,,,,8.74,92.99,866.82,,316,402,TRUE,TRUE,323,394,<0.60,<0.34
MB16,2022-08-02,13:00,22_HW1226,8.79,1365,,,,,3.94,78,83.37,,362,433,TRUE,TRUE,377,460,<0.60,<0.34
MB16,2022-08-22,,22_HW1342,8.22,2067.6,,,,,5.9,,72.65,,,664,,,,,,
MB16,2022-09-07,,22_HW1372,8.34,2040.7,,,,,10.72,57.81,82.65,,5.5,655,TRUE,TRUE,829,970,19.9,<0.34
MB16,2022-10-07,,22_HW1381,8.35,3288.8,,,,,4.93,59.76,71.48,,16500,1067,TRUE,TRUE,762,929,<0.60,<0.34
MB16,2022-10-26,,22_HW1385,8.4,2003.9,,,,,8.02,42.61,101.8765271,,739,643,TRUE,TRUE,,,,
