DateTime (in house),dateTime,Temperature,WTH,loggerUid,logDateTime
29-05-2021 23:59:59,30-05-2021 00:00:00,13.76,219.4,D6F6B8148E0A,1622350800
30-05-2021 00:59:59,30-05-2021 01:00:00,13.26,220.9,D6F6B8148E0A,1622354400
30-05-2021 01:59:59,30-05-2021 02:00:00,10.04,222.8,D6F6B8148E0A,1622358000
30-05-2021 02:59:59,30-05-2021 03:00:00,8.55,222.8,D6F6B8148E0A,1622361600
30-05-2021 03:59:59,30-05-2021 04:00:00,7.38,222.9,D6F6B8148E0A,1622365200
30-05-2021 04:59:59,30-05-2021 05:00:00,5.52,223.2,D6F6B8148E0A,1622368800
30-05-2021 05:59:59,30-05-2021 06:00:00,4.96,222.8,D6F6B8148E0A,1622372400
30-05-2021 06:59:59,30-05-2021 07:00:00,13.14,221.1,D6F6B8148E0A,1622376000
30-05-2021 07:59:59,30-05-2021 08:00:00,13.38,219.6,D6F6B8148E0A,1622379600
30-05-2021 08:59:59,30-05-2021 09:00:00,15.99,218.8,D6F6B8148E0A,1622383200
30-05-2021 09:59:59,30-05-2021 10:00:00,12.89,219.2,D6F6B8148E0A,1622386800
30-05-2021 10:59:59,30-05-2021 11:00:00,16.6,218.3,D6F6B8148E0A,1622390400
30-05-2021 11:59:59,30-05-2021 12:00:00,16.23,218.4,D6F6B8148E0A,1622394000
30-05-2021 12:59:59,30-05-2021 13:00:00,14.25,218.8,D6F6B8148E0A,1622397600
30-05-2021 13:59:59,30-05-2021 14:00:00,17.04,218.3,D6F6B8148E0A,1622401200
30-05-2021 14:59:59,30-05-2021 15:00:00,13.76,218.8,D6F6B8148E0A,1622404800
30-05-2021 15:59:59,30-05-2021 16:00:00,15.37,218.8,D6F6B8148E0A,1622408400
30-05-2021 16:59:59,30-05-2021 17:00:00,18.83,217,D6F6B8148E0A,1622412000
30-05-2021 17:59:59,30-05-2021 18:00:00,19.27,216.6,D6F6B8148E0A,1622415600
30-05-2021 18:59:59,30-05-2021 19:00:00,20.57,216.3,D6F6B8148E0A,1622419200
30-05-2021 19:59:59,30-05-2021 20:00:00,20.51,216.2,D6F6B8148E0A,1622422800
30-05-2021 20:59:59,30-05-2021 21:00:00,18.65,217.9,D6F6B8148E0A,1622426400
30-05-2021 21:59:59,30-05-2021 22:00:00,8.74,220.1,D6F6B8148E0A,1622430000
30-05-2021 22:59:59,30-05-2021 23:00:00,3.85,221,D6F6B8148E0A,1622433600
30-05-2021 23:59:59,31-05-2021 00:00:00,2.24,221.4,D6F6B8148E0A,1622437200
31-05-2021 00:59:59,31-05-2021 01:00:00,1.56,222.1,D6F6B8148E0A,1622440800
31-05-2021 01:59:59,31-05-2021 02:00:00,0.63,222.2,D6F6B8148E0A,1622444400
31-05-2021 02:59:59,31-05-2021 03:00:00,0.32,222.7,D6F6B8148E0A,1622448000
31-05-2021 03:59:59,31-05-2021 04:00:00,-0.12,222.9,D6F6B8148E0A,1622451600
31-05-2021 04:59:59,31-05-2021 05:00:00,-0.61,222.9,D6F6B8148E0A,1622455200
31-05-2021 05:59:59,31-05-2021 06:00:00,-0.3,223.1,D6F6B8148E0A,1622458800
31-05-2021 06:59:59,31-05-2021 07:00:00,10.85,221.7,D6F6B8148E0A,1622462400
31-05-2021 07:59:59,31-05-2021 08:00:00,20.75,218,D6F6B8148E0A,1622466000
31-05-2021 08:59:59,31-05-2021 09:00:00,25.34,216.3,D6F6B8148E0A,1622469600
