Site,Date,Time,LabID,pH,Specific Conductivity (uS),DOC (mg/L),TDN (mg/L),NO3NO2N (ug/L),NH4N_(ug/L),DRP (ug/L),TDP (ug/L),TP (ug/L),ABS 280nm ,SO4 (mg/L ALS),SO4_pred,TDP+10%>DRP10%,TP+10%>TDP10%,"Alkalinity, Total (as CaCO3) (mg/L)",Bicarbonate (HCO3) (mg/L),Carbonate (CO3) (mg/L),Hydroxide (OH) (mg/L)
MB15,2021-05-12,10:10,21_HW0600,9.12,667.36,17.82,1.13,3,12.82,220.81,343.38,399.4,0.3103,137,137,TRUE,TRUE,,,,
MB15,2021-05-25,11:00,21_HW0633,8.61,682.96,21.14,1.31,0.49,26.44,408.1,456.76,487.69,0.3216,158,158,TRUE,TRUE,,,,
MB15,2021-06-07,10:30,21_HW0737,9.21,716.28,23.06,1.61,3.11,9.16,567.4,574.33,645,0.2656,180,180,TRUE,TRUE,,,,
MB15,2021-06-21,,21_HW0802,8.79,940.77,30.98,2,0,21.15,214.14,354.58,388.4,0.5376,312,312,TRUE,TRUE,,,,
MB15,2021-07-05,,21_HW0855,7.93,991.92,35.29,2.3,11.3,44.21,260.01,466.89,595.42,0.5812,326,326,TRUE,TRUE,,,,
MB15,2021-07-19,,21_HW0867,9.34,943.56,30.17,2.22,0,14.89,161.77,216.29,223.76,0.4941,315,315,TRUE,TRUE,,,,
MB15,2021-08-02,10:30,21_HW0966,9.77,955.88,31.47,2.38,4.85,14.57,188.37,309.69,281.35,0.4944,352,352,TRUE,TRUE,,,,
MB15,2021-08-16,10:10,21_HW0972,9.48,989.61,33.56,2.38,3.14,5.07,183.52,239.4,285.83,0.5409,383,383,TRUE,TRUE,,,,
MB15,2021-08-30,10:20,21_HW0997,8.7,1024.53,26.8,2.02,4.24,68.89,260.1,415.85,1131.11,0.3916,366,366,TRUE,TRUE,,,,
MB15,2021-09-12,,21_HW1009,8.82,1126.91,29.6,2.44,2.63,206.85,332.64,430.83,475.29,0.4171,387,387,TRUE,TRUE,,,,
MB15,2021-10-18,14:00,21_HW1029,8.37,1462.27,30.57,4.69,6.38,7.71,432.54,472.94,517.92,0.3828,442,442,TRUE,TRUE,,,,
MB15,2022-05-16,,22_HW0410,9.6,462.4,16.66,1.13,,,214.15,350.23,301.27,0.2893,136,135,TRUE,TRUE,138,168,<0.60,<0.34
MB15,2022-06-08,,22_HW0480,8.9,934.1,13.55,1.13,,,286.09,405.34,367.97,0.2957,244,291,TRUE,TRUE,214,260,<0.60,<0.34
MB15,2022-06-20,11:20,22_HW0517,8.97,707.2,16.09,1.66,,,532.68,537.25,881.13,0.3434,192,216,TRUE,TRUE,178,218,<0.60,<0.34
MB15,2022-07-04,12:00,22_HW0925,9.11,708.7,21.62,1.52,,,540.7,785.16,665.68,0.3943,204,217,TRUE,TRUE,204,249,<0.60,<0.34
MB15,2022-07-18,,22_HW0977,9.37,684.8,23.43,1.57,,,358.78,622.92,525.92,0.361,221,209,TRUE,TRUE,208,245,3.96,<0.34
MB15,2022-08-02,11:00,22_HW1225,9.27,741.4,25.24,1.73,,,483.54,455.18,411.89,0.3496,362,227,TRUE,TRUE,228,234,22.1,<0.34
MB15,2022-08-22,,22_HW1341,9.63,1078.1,26.07,1.85,,,412.94,,532.19,0.4173,,338,,,,,,
MB15,2022-09-07,,22_HW1371,9.26,872.5,27.65,1.9,,,459.07,504.84,580.56,0.3807,287,270,TRUE,TRUE,360,341,48,<0.34
MB15,2022-09-27,,22_HW1377,8.8,1044.1,28.08,1.96,,,481.18,545.76,578.7,0.362,303,327,TRUE,TRUE,268,297,14.9,<0.34
MB15,2022-10-25,,22_HW1384,9.13,990.3,26.39,1.87,,,166.32,199.59,214.169721,0.3406,312,309,TRUE,TRUE,,,,
