dateTime,Day ,Month,Year,Time,WTD
29-05-2021 00:00:00,29,5,2021,0:00:00,559
29-05-2021 01:00:00,29,5,2021,1:00:00,557
29-05-2021 02:00:00,29,5,2021,2:00:00,559
29-05-2021 03:00:00,29,5,2021,3:00:00,557
29-05-2021 04:00:00,29,5,2021,4:00:00,562
29-05-2021 05:00:00,29,5,2021,5:00:00,559
29-05-2021 06:00:00,29,5,2021,6:00:00,561
29-05-2021 07:00:00,29,5,2021,7:00:00,558
29-05-2021 08:00:00,29,5,2021,8:00:00,554
29-05-2021 09:00:00,29,5,2021,9:00:00,552
29-05-2021 10:00:00,29,5,2021,10:00:00,552
29-05-2021 11:00:00,29,5,2021,11:00:00,553
29-05-2021 12:00:00,29,5,2021,12:00:00,553
29-05-2021 13:00:00,29,5,2021,13:00:00,554
29-05-2021 14:00:00,29,5,2021,14:00:00,552
29-05-2021 15:00:00,29,5,2021,15:00:00,552
29-05-2021 16:00:00,29,5,2021,16:00:00,551
29-05-2021 17:00:00,29,5,2021,17:00:00,551
29-05-2021 18:00:00,29,5,2021,18:00:00,550
29-05-2021 19:00:00,29,5,2021,19:00:00,549
29-05-2021 20:00:00,29,5,2021,20:00:00,548
29-05-2021 21:00:00,29,5,2021,21:00:00,548
29-05-2021 22:00:00,29,5,2021,22:00:00,548
29-05-2021 23:00:00,29,5,2021,23:00:00,548
30-05-2021 00:00:00,30,5,2021,0:00:00,549
30-05-2021 01:00:00,30,5,2021,1:00:00,547
30-05-2021 02:00:00,30,5,2021,2:00:00,547
30-05-2021 03:00:00,30,5,2021,3:00:00,548
30-05-2021 04:00:00,30,5,2021,4:00:00,548
30-05-2021 05:00:00,30,5,2021,5:00:00,548
30-05-2021 06:00:00,30,5,2021,6:00:00,549
30-05-2021 07:00:00,30,5,2021,7:00:00,547
30-05-2021 08:00:00,30,5,2021,8:00:00,549
30-05-2021 09:00:00,30,5,2021,9:00:00,548
30-05-2021 10:00:00,30,5,2021,10:00:00,549
30-05-2021 11:00:00,30,5,2021,11:00:00,552
30-05-2021 12:00:00,30,5,2021,12:00:00,551
30-05-2021 13:00:00,30,5,2021,13:00:00,551
30-05-2021 14:00:00,30,5,2021,14:00:00,550
30-05-2021 15:00:00,30,5,2021,15:00:00,551
30-05-2021 16:00:00,30,5,2021,16:00:00,550
30-05-2021 17:00:00,30,5,2021,17:00:00,550
30-05-2021 18:00:00,30,5,2021,18:00:00,547
30-05-2021 19:00:00,30,5,2021,19:00:00,546
30-05-2021 20:00:00,30,5,2021,20:00:00,544
30-05-2021 21:00:00,30,5,2021,21:00:00,543
30-05-2021 22:00:00,30,5,2021,22:00:00,546
30-05-2021 23:00:00,30,5,2021,23:00:00,548
31-05-2021 00:00:00,31,5,2021,0:00:00,549
31-05-2021 01:00:00,31,5,2021,1:00:00,548
31-05-2021 02:00:00,31,5,2021,2:00:00,549
31-05-2021 03:00:00,31,5,2021,3:00:00,549
31-05-2021 04:00:00,31,5,2021,4:00:00,549
31-05-2021 05:00:00,31,5,2021,5:00:00,549
31-05-2021 06:00:00,31,5,2021,6:00:00,550
31-05-2021 07:00:00,31,5,2021,7:00:00,546
31-05-2021 08:00:00,31,5,2021,8:00:00,543
31-05-2021 09:00:00,31,5,2021,9:00:00,543
31-05-2021 10:00:00,31,5,2021,10:00:00,543
31-05-2021 11:00:00,31,5,2021,11:00:00,543
31-05-2021 12:00:00,31,5,2021,12:00:00,542
31-05-2021 13:00:00,31,5,2021,13:00:00,542
31-05-2021 14:00:00,31,5,2021,14:00:00,541
31-05-2021 15:00:00,31,5,2021,15:00:00,540
31-05-2021 16:00:00,31,5,2021,16:00:00,539
31-05-2021 17:00:00,31,5,2021,17:00:00,539
31-05-2021 18:00:00,31,5,2021,18:00:00,538
31-05-2021 19:00:00,31,5,2021,19:00:00,538
31-05-2021 20:00:00,31,5,2021,20:00:00,539
31-05-2021 21:00:00,31,5,2021,21:00:00,540
31-05-2021 22:00:00,31,5,2021,22:00:00,541
31-05-2021 23:00:00,31,5,2021,23:00:00,541
2021-01-06 0:00,1,6,2021,0:00:00,541
2021-01-06 1:00,1,6,2021,1:00:00,541
2021-01-06 2:00,1,6,2021,2:00:00,542
2021-01-06 3:00,1,6,2021,3:00:00,541
2021-01-06 4:00,1,6,2021,4:00:00,541
2021-01-06 5:00,1,6,2021,5:00:00,541
2021-01-06 6:00,1,6,2021,6:00:00,542
2021-01-06 7:00,1,6,2021,7:00:00,540
2021-01-06 8:00,1,6,2021,8:00:00,540
2021-01-06 9:00,1,6,2021,9:00:00,540
2021-01-06 10:00,1,6,2021,10:00:00,540
2021-01-06 11:00,1,6,2021,11:00:00,539
2021-01-06 12:00,1,6,2021,12:00:00,539
2021-01-06 13:00,1,6,2021,13:00:00,539
2021-01-06 14:00,1,6,2021,14:00:00,537
2021-01-06 15:00,1,6,2021,15:00:00,536
2021-01-06 16:00,1,6,2021,16:00:00,537
2021-01-06 17:00,1,6,2021,17:00:00,537
2021-01-06 18:00,1,6,2021,18:00:00,536
2021-01-06 19:00,1,6,2021,19:00:00,538
2021-01-06 20:00,1,6,2021,20:00:00,535
2021-01-06 21:00,1,6,2021,21:00:00,536
2021-01-06 22:00,1,6,2021,22:00:00,537
2021-01-06 23:00,2,6,2021,23:00:00,538
2021-02-06 0:00,2,6,2021,0:00:00,539
2021-02-06 1:00,2,6,2021,1:00:00,539
2021-02-06 2:00,2,6,2021,2:00:00,539
2021-02-06 3:00,2,6,2021,3:00:00,540
2021-02-06 4:00,2,6,2021,4:00:00,540
2021-02-06 5:00,2,6,2021,5:00:00,541
2021-02-06 6:00,2,6,2021,6:00:00,540
2021-02-06 7:00,2,6,2021,7:00:00,537
2021-02-06 8:00,2,6,2021,8:00:00,535
2021-02-06 9:00,2,6,2021,9:00:00,536
2021-02-06 10:00,2,6,2021,10:00:00,535
2021-02-06 11:00,2,6,2021,11:00:00,535
2021-02-06 12:00,2,6,2021,12:00:00,534
2021-02-06 13:00,2,6,2021,13:00:00,534
2021-02-06 14:00,2,6,2021,14:00:00,534
2021-02-06 15:00,2,6,2021,15:00:00,534
2021-02-06 16:00,2,6,2021,16:00:00,533
2021-02-06 17:00,2,6,2021,17:00:00,532
2021-02-06 18:00,2,6,2021,18:00:00,532
2021-02-06 19:00,2,6,2021,19:00:00,533
2021-02-06 20:00,2,6,2021,20:00:00,531
2021-02-06 21:00,2,6,2021,21:00:00,532
2021-02-06 22:00,2,6,2021,22:00:00,534
2021-02-06 23:00,2,6,2021,23:00:00,534
2021-03-06 0:00,3,6,2021,0:00:00,533
2021-03-06 1:00,3,6,2021,1:00:00,532
2021-03-06 2:00,3,6,2021,2:00:00,532
2021-03-06 3:00,3,6,2021,3:00:00,535
2021-03-06 4:00,3,6,2021,4:00:00,534
2021-03-06 5:00,3,6,2021,5:00:00,537
2021-03-06 6:00,3,6,2021,6:00:00,538
2021-03-06 7:00,3,6,2021,7:00:00,533
2021-03-06 8:00,3,6,2021,8:00:00,532
2021-03-06 9:00,3,6,2021,9:00:00,532
2021-03-06 10:00,3,6,2021,10:00:00,531
2021-03-06 11:00,3,6,2021,11:00:00,530
2021-03-06 12:00,3,6,2021,12:00:00,531
2021-03-06 13:00,3,6,2021,13:00:00,529
2021-03-06 14:00,3,6,2021,14:00:00,528
2021-03-06 15:00,3,6,2021,15:00:00,525
2021-03-06 16:00,3,6,2021,16:00:00,524
2021-03-06 17:00,3,6,2021,17:00:00,524
2021-03-06 18:00,3,6,2021,18:00:00,524
2021-03-06 19:00,3,6,2021,19:00:00,524
2021-03-06 20:00,3,6,2021,20:00:00,524
