DateTime,dateTime,Temperature,WTH,loggerUid,logDateTime
28-05-2021 23:59:59,29-05-2021 00:00:00,12.28,559.4,CF397E07C161,1622264400
29-05-2021 00:59:59,29-05-2021 01:00:00,11.97,557.3,CF397E07C161,1622268000
29-05-2021 01:59:59,29-05-2021 02:00:00,11.72,559.2,CF397E07C161,1622271600
29-05-2021 02:59:59,29-05-2021 03:00:00,11.35,556.6,CF397E07C161,1622275200
29-05-2021 03:59:59,29-05-2021 04:00:00,10.36,561.6,CF397E07C161,1622278800
29-05-2021 04:59:59,29-05-2021 05:00:00,9.43,559,CF397E07C161,1622282400
29-05-2021 05:59:59,29-05-2021 06:00:00,8.99,560.8,CF397E07C161,1622286000
29-05-2021 06:59:59,29-05-2021 07:00:00,10.73,558.4,CF397E07C161,1622289600
29-05-2021 07:59:59,29-05-2021 08:00:00,16,554.4,CF397E07C161,1622293200
29-05-2021 08:59:59,29-05-2021 09:00:00,19.84,552.2,CF397E07C161,1622296800
29-05-2021 09:59:59,29-05-2021 10:00:00,22.07,551.7,CF397E07C161,1622300400
29-05-2021 10:59:59,29-05-2021 11:00:00,21.58,552.5,CF397E07C161,1622304000
29-05-2021 11:59:59,29-05-2021 12:00:00,20.34,552.8,CF397E07C161,1622307600
29-05-2021 12:59:59,29-05-2021 13:00:00,20.46,553.6,CF397E07C161,1622311200
29-05-2021 13:59:59,29-05-2021 14:00:00,20.71,552.4,CF397E07C161,1622314800
29-05-2021 14:59:59,29-05-2021 15:00:00,21.33,551.9,CF397E07C161,1622318400
29-05-2021 15:59:59,29-05-2021 16:00:00,20.65,551,CF397E07C161,1622322000
29-05-2021 16:59:59,29-05-2021 17:00:00,19.9,551.1,CF397E07C161,1622325600
29-05-2021 17:59:59,29-05-2021 18:00:00,20.15,550.1,CF397E07C161,1622329200
29-05-2021 18:59:59,29-05-2021 19:00:00,21.7,548.7,CF397E07C161,1622332800
29-05-2021 19:59:59,29-05-2021 20:00:00,20.9,547.7,CF397E07C161,1622336400
29-05-2021 20:59:59,29-05-2021 21:00:00,16.68,548.3,CF397E07C161,1622340000
29-05-2021 21:59:59,29-05-2021 22:00:00,14.7,547.5,CF397E07C161,1622343600
29-05-2021 22:59:59,29-05-2021 23:00:00,13.52,547.8,CF397E07C161,1622347200
29-05-2021 23:59:59,30-05-2021 00:00:00,13.27,548.6,CF397E07C161,1622350800
30-05-2021 00:59:59,30-05-2021 01:00:00,13.15,547.2,CF397E07C161,1622354400
30-05-2021 01:59:59,30-05-2021 02:00:00,12.03,547.3,CF397E07C161,1622358000
30-05-2021 02:59:59,30-05-2021 03:00:00,10.67,547.6,CF397E07C161,1622361600
30-05-2021 03:59:59,30-05-2021 04:00:00,9.43,547.7,CF397E07C161,1622365200
30-05-2021 04:59:59,30-05-2021 05:00:00,7.88,548.1,CF397E07C161,1622368800
30-05-2021 05:59:59,30-05-2021 06:00:00,6.76,548.5,CF397E07C161,1622372400
30-05-2021 06:59:59,30-05-2021 07:00:00,15.32,547.1,CF397E07C161,1622376000
30-05-2021 07:59:59,30-05-2021 08:00:00,13.15,548.7,CF397E07C161,1622379600
30-05-2021 08:59:59,30-05-2021 09:00:00,19.47,547.5,CF397E07C161,1622383200
30-05-2021 09:59:59,30-05-2021 10:00:00,13.52,549.3,CF397E07C161,1622386800
30-05-2021 10:59:59,30-05-2021 11:00:00,13.52,551.8,CF397E07C161,1622390400
30-05-2021 11:59:59,30-05-2021 12:00:00,14.63,550.6,CF397E07C161,1622394000
30-05-2021 12:59:59,30-05-2021 13:00:00,13.27,550.5,CF397E07C161,1622397600
30-05-2021 13:59:59,30-05-2021 14:00:00,12.71,550.1,CF397E07C161,1622401200
30-05-2021 14:59:59,30-05-2021 15:00:00,13.33,551.1,CF397E07C161,1622404800
30-05-2021 15:59:59,30-05-2021 16:00:00,13.33,549.7,CF397E07C161,1622408400
30-05-2021 16:59:59,30-05-2021 17:00:00,12.77,549.7,CF397E07C161,1622412000
30-05-2021 17:59:59,30-05-2021 18:00:00,16.31,546.9,CF397E07C161,1622415600
30-05-2021 18:59:59,30-05-2021 19:00:00,16.87,546.3,CF397E07C161,1622419200
30-05-2021 19:59:59,30-05-2021 20:00:00,20.59,544.2,CF397E07C161,1622422800
30-05-2021 20:59:59,30-05-2021 21:00:00,24.12,543.2,CF397E07C161,1622426400
30-05-2021 21:59:59,30-05-2021 22:00:00,12.53,546.1,CF397E07C161,1622430000
30-05-2021 22:59:59,30-05-2021 23:00:00,6.14,547.7,CF397E07C161,1622433600
30-05-2021 23:59:59,31-05-2021 00:00:00,4.78,548.5,CF397E07C161,1622437200
31-05-2021 00:59:59,31-05-2021 01:00:00,4.16,548.3,CF397E07C161,1622440800
31-05-2021 01:59:59,31-05-2021 02:00:00,3.66,548.9,CF397E07C161,1622444400
31-05-2021 02:59:59,31-05-2021 03:00:00,4.28,548.7,CF397E07C161,1622448000
31-05-2021 03:59:59,31-05-2021 04:00:00,4.22,548.6,CF397E07C161,1622451600
31-05-2021 04:59:59,31-05-2021 05:00:00,2.67,548.6,CF397E07C161,1622455200
31-05-2021 05:59:59,31-05-2021 06:00:00,3.47,549.8,CF397E07C161,1622458800
31-05-2021 06:59:59,31-05-2021 07:00:00,14.01,545.5,CF397E07C161,1622462400
31-05-2021 07:59:59,31-05-2021 08:00:00,21.52,543.1,CF397E07C161,1622466000
31-05-2021 08:59:59,31-05-2021 09:00:00,23.87,542.7,CF397E07C161,1622469600
31-05-2021 09:59:59,31-05-2021 10:00:00,24.49,542.5,CF397E07C161,1622473200
31-05-2021 10:59:59,31-05-2021 11:00:00,24.06,542.8,CF397E07C161,1622476800
31-05-2021 11:59:59,31-05-2021 12:00:00,24.62,542.2,CF397E07C161,1622480400
31-05-2021 12:59:59,31-05-2021 13:00:00,24.31,541.7,CF397E07C161,1622484000
31-05-2021 13:59:59,31-05-2021 14:00:00,24.31,540.6,CF397E07C161,1622487600
31-05-2021 14:59:59,31-05-2021 15:00:00,24.62,540.3,CF397E07C161,1622491200
31-05-2021 15:59:59,31-05-2021 16:00:00,25.86,539.4,CF397E07C161,1622494800
31-05-2021 16:59:59,31-05-2021 17:00:00,26.54,539,CF397E07C161,1622498400
31-05-2021 17:59:59,31-05-2021 18:00:00,26.79,538.4,CF397E07C161,1622502000
31-05-2021 18:59:59,31-05-2021 19:00:00,28.21,538.1,CF397E07C161,1622505600
31-05-2021 19:59:59,31-05-2021 20:00:00,25.42,538.8,CF397E07C161,1622509200
31-05-2021 20:59:59,31-05-2021 21:00:00,20.52,539.5,CF397E07C161,1622512800
31-05-2021 21:59:59,31-05-2021 22:00:00,16.31,540.8,CF397E07C161,1622516400
31-05-2021 22:59:59,31-05-2021 23:00:00,14.7,540.8,CF397E07C161,1622520000
31-05-2021 23:59:59,2021-01-06 00:00,13.58,541.1,CF397E07C161,1622523600
01-06-2021 00:59:59,2021-01-06 01:00,14.26,540.6,CF397E07C161,1622527200
01-06-2021 01:59:59,2021-01-06 02:00,13.21,542,CF397E07C161,1622530800
01-06-2021 02:59:59,2021-01-06 03:00,14.08,540.6,CF397E07C161,1622534400
01-06-2021 03:59:59,2021-01-06 04:00,12.65,540.8,CF397E07C161,1622538000
01-06-2021 04:59:59,2021-01-06 05:00,11.22,541.2,CF397E07C161,1622541600
01-06-2021 05:59:59,2021-01-06 06:00,10.54,542,CF397E07C161,1622545200
01-06-2021 06:59:59,2021-01-06 07:00,19.47,539.9,CF397E07C161,1622548800
01-06-2021 07:59:59,2021-01-06 08:00,19.04,540.3,CF397E07C161,1622552400
01-06-2021 08:59:59,2021-01-06 09:00,20.4,540.4,CF397E07C161,1622556000
01-06-2021 09:59:59,2021-01-06 10:00,20.9,539.9,CF397E07C161,1622559600
01-06-2021 10:59:59,2021-01-06 11:00,27.22,539.1,CF397E07C161,1622563200
01-06-2021 11:59:59,2021-01-06 12:00,25.05,538.9,CF397E07C161,1622566800
01-06-2021 12:59:59,2021-01-06 13:00,27.47,539,CF397E07C161,1622570400
01-06-2021 13:59:59,2021-01-06 14:00,27.59,537.1,CF397E07C161,1622574000
01-06-2021 14:59:59,2021-01-06 15:00,27.9,536.4,CF397E07C161,1622577600
01-06-2021 15:59:59,2021-01-06 16:00,25.24,537.3,CF397E07C161,1622581200
01-06-2021 16:59:59,2021-01-06 17:00,25.55,536.7,CF397E07C161,1622584800
01-06-2021 17:59:59,2021-01-06 18:00,25.55,536,CF397E07C161,1622588400
01-06-2021 18:59:59,2021-01-06 19:00,27.9,537.8,CF397E07C161,1622592000
01-06-2021 19:59:59,2021-01-06 20:00,28.21,535.4,CF397E07C161,1622595600
01-06-2021 20:59:59,2021-01-06 21:00,23.25,535.9,CF397E07C161,1622599200
01-06-2021 21:59:59,2021-01-06 22:00,17.67,536.9,CF397E07C161,1622602800
01-06-2021 22:59:59,2021-01-06 23:00,15.38,537.7,CF397E07C161,1622606400
01-06-2021 23:59:59,2021-02-06 00:00,13.46,539.2,CF397E07C161,1622610000
02-06-2021 00:59:59,2021-02-06 01:00,11.97,539.1,CF397E07C161,1622613600
02-06-2021 01:59:59,2021-02-06 02:00,11.6,539.4,CF397E07C161,1622617200
02-06-2021 02:59:59,2021-02-06 03:00,10.48,539.8,CF397E07C161,1622620800
02-06-2021 03:59:59,2021-02-06 04:00,10.23,540.4,CF397E07C161,1622624400
02-06-2021 04:59:59,2021-02-06 05:00,9.43,541.2,CF397E07C161,1622628000
02-06-2021 05:59:59,2021-02-06 06:00,9.8,540.2,CF397E07C161,1622631600
02-06-2021 06:59:59,2021-02-06 07:00,20.71,537.4,CF397E07C161,1622635200
02-06-2021 07:59:59,2021-02-06 08:00,31.75,535.4,CF397E07C161,1622638800
02-06-2021 08:59:59,2021-02-06 09:00,28.83,535.5,CF397E07C161,1622642400
02-06-2021 09:59:59,2021-02-06 10:00,29.2,535.2,CF397E07C161,1622646000
02-06-2021 10:59:59,2021-02-06 11:00,29.76,534.7,CF397E07C161,1622649600
02-06-2021 11:59:59,2021-02-06 12:00,27.41,534.3,CF397E07C161,1622653200
02-06-2021 12:59:59,2021-02-06 13:00,27.65,533.9,CF397E07C161,1622656800
02-06-2021 13:59:59,2021-02-06 14:00,29.45,533.7,CF397E07C161,1622660400
02-06-2021 14:59:59,2021-02-06 15:00,29.2,534.3,CF397E07C161,1622664000
02-06-2021 15:59:59,2021-02-06 16:00,29.64,533.2,CF397E07C161,1622667600
02-06-2021 16:59:59,2021-02-06 17:00,30.88,532.2,CF397E07C161,1622671200
02-06-2021 17:59:59,2021-02-06 18:00,30.44,531.6,CF397E07C161,1622674800
02-06-2021 18:59:59,2021-02-06 19:00,30.38,532.8,CF397E07C161,1622678400
02-06-2021 19:59:59,2021-02-06 20:00,30.13,531,CF397E07C161,1622682000
02-06-2021 20:59:59,2021-02-06 21:00,25.86,531.8,CF397E07C161,1622685600
02-06-2021 21:59:59,2021-02-06 22:00,23,533.5,CF397E07C161,1622689200
02-06-2021 22:59:59,2021-02-06 23:00,20.65,534.1,CF397E07C161,1622692800
02-06-2021 23:59:59,2021-03-06 00:00,20.28,532.9,CF397E07C161,1622696400
03-06-2021 00:59:59,2021-03-06 01:00,20.28,532.4,CF397E07C161,1622700000
03-06-2021 01:59:59,2021-03-06 02:00,19.97,532.4,CF397E07C161,1622703600
03-06-2021 02:59:59,2021-03-06 03:00,18.17,534.9,CF397E07C161,1622707200
03-06-2021 03:59:59,2021-03-06 04:00,16.74,533.5,CF397E07C161,1622710800
03-06-2021 04:59:59,2021-03-06 05:00,14.7,537.1,CF397E07C161,1622714400
03-06-2021 05:59:59,2021-03-06 06:00,13.7,537.8,CF397E07C161,1622718000
03-06-2021 06:59:59,2021-03-06 07:00,23.62,533,CF397E07C161,1622721600
03-06-2021 07:59:59,2021-03-06 08:00,29.27,531.5,CF397E07C161,1622725200
03-06-2021 08:59:59,2021-03-06 09:00,28.89,531.8,CF397E07C161,1622728800
03-06-2021 09:59:59,2021-03-06 10:00,35.65,530.7,CF397E07C161,1622732400
03-06-2021 10:59:59,2021-03-06 11:00,34.78,530,CF397E07C161,1622736000
03-06-2021 11:59:58,2021-03-06 12:00,34.91,530.7,CF397E07C161,1622739600
03-06-2021 12:59:58,2021-03-06 13:00,34.23,528.5,CF397E07C161,1622743200
03-06-2021 13:59:58,2021-03-06 14:00,32.49,528,CF397E07C161,1622746800
03-06-2021 14:59:58,2021-03-06 15:00,31.81,525,CF397E07C161,1622750400
03-06-2021 15:59:58,2021-03-06 16:00,33.05,524.4,CF397E07C161,1622754000
03-06-2021 16:59:58,2021-03-06 17:00,33.17,524.2,CF397E07C161,1622757600
03-06-2021 17:59:58,2021-03-06 18:00,34.47,523.7,CF397E07C161,1622761200
03-06-2021 18:59:58,2021-03-06 19:00,36.71,523.5,CF397E07C161,1622764800
03-06-2021 19:59:58,2021-03-06 20:00,40.55,524,CF397E07C161,1622768400
03-06-2021 20:59:58,2021-03-06 21:00,29.95,525.1,CF397E07C161,1622772000
