"site"	"DATE"	"GPP_f"	"Reco"	"pot_rad"	"SWIN_1_1_1"	"VPD.x"	"air_p_mean"	"P_RAIN_1_1_1"	"TA_1_1_1"	"TS_1_1_1"	"TS_2_1_1"	"TS_3_1_1"	"WTH"	"LE_f"	"NEE_uStar_f"	"FCH4_gf_RF"	"FCH4"
"Hogg"	"2021-05-20 00:30:00"	-0.274565179007608	1.51417482099239	0	-3.51204	610.37	95113.1	0	9.827	9.34300000000002	8.86600000000004	9.08000000000004	NA	14.2478	1.78874	-0.001965	-0.001965
"Hogg"	"2021-05-20 01:00:00"	-0.578233644238509	1.47791635576149	0	-2.6629	567.731	95120.9	0	9.25800000000004	8.66300000000001	8.22800000000001	8.49600000000004	NA	15.4402	2.05615	0.000784707	0.000784707
"Hogg"	"2021-05-20 01:30:00"	0.275801027633076	1.45657102763308	0	-2.57868	371.425	95159.5	0	8.92200000000003	8.613	8.363	8.48200000000003	NA	-6.16539	1.18077	0.00183674	0.00183674
"Hogg"	"2021-05-20 02:00:00"	0.594211239215154	1.39782723921515	0	-2.28583	268.276	95179.9	0	7.99299999999999	7.81700000000001	7.64000000000004	7.71300000000002	NA	7.49579526315789	0.803616	0.00230865	0.00230865
"Hogg"	"2021-05-20 02:30:00"	0.424751362378575	1.35729636237858	0	-1.71105	294.044	95212.5	0	7.34800000000001	7.27300000000002	7.178	7.20300000000003	NA	13.0695	0.932545	0.00739686	0.00739686
"Hogg"	"2021-05-20 03:00:00"	0.540515063448684	1.32229006344868	0	-1.68701	236.237	95244.6	0	6.78800000000001	6.678	6.57800000000003	6.63	NA	9.08922	0.781775	0.00579657	0.00579657
"Hogg"	"2021-05-20 03:30:00"	0.688211391105636	1.30584939110564	0	-0.923696	226.335	95258.4	0	6.524	6.49400000000003	6.46600000000001	6.488	NA	8.53738	0.617638	0.00934377	0.00934377
"Hogg"	"2021-05-20 04:00:00"	0.342513178241739	1.29081517824174	0	-1.71354	216.397	95270.4	0	6.28200000000004	6.13500000000005	6.01900000000001	6.08800000000002	NA	12.4061	0.948302	0.00542956	0.00542956
"Hogg"	"2021-05-20 04:30:00"	0.31910078665519	1.26845478665519	0	-1.80534	222.736	95304.9	0	5.92100000000005	5.76600000000002	5.65900000000005	5.71100000000001	NA	13.1779	0.949354	0.0061565	0.0061565
"Hogg"	"2021-05-20 05:00:00"	0.239666190922828	1.24420619092283	0	-1.67911	216.379	95325.9	0	5.52800000000002	5.32900000000001	5.21500000000003	5.291	NA	13.7251	1.00454	0.00905779	0.00905779
